Series ID,A2390558X,A2390417V,A2390462F,A2390507X,A2390561L,A2390606F,A2390651T,A2390559A,A2390418W,A2390463J,A2390508A,A2390562R,A2390607J,A2390652V
Sep-1989,57.7,56.1,60.6,58.5,54.4,57.4,52.2,1.6,2.4,0.5,2.1,1.3,2.1,1.0
Dec-1989,58.6,56.7,61.6,59.7,55.5,58.5,53.4,1.6,1.1,1.7,2.1,2.0,1.9,2.3
Mar-1990,59.4,57.2,62.3,60.6,56.2,59.4,54.0,1.4,0.9,1.1,1.5,1.3,1.5,1.1
Jun-1990,60.5,58.4,63.2,61.5,57.5,60.8,55.0,1.9,2.1,1.4,1.5,2.3,2.4,1.9
Sep-1990,61.0,59.1,63.6,62.1,58.0,61.6,55.3,0.8,1.2,0.6,1.0,0.9,1.3,0.5
Dec-1990,61.5,59.8,63.8,62.8,58.6,62.3,56.0,0.8,1.2,0.3,1.1,1.0,1.1,1.3
Mar-1991,62.2,60.1,64.4,64.2,59.0,62.7,56.4,1.1,0.5,0.9,2.2,0.7,0.6,0.7
Jun-1991,62.4,60.3,64.5,65.1,59.2,62.6,57.4,0.3,0.3,0.2,1.4,0.3,-0.2,1.8
Sep-1991,62.1,60.0,64.4,64.4,59.1,62.2,57.7,-0.5,-0.5,-0.2,-1.1,-0.2,-0.6,0.5
Dec-1991,61.8,59.9,63.4,64.5,58.7,62.5,57.6,-0.5,-0.2,-1.6,0.2,-0.7,0.5,-0.2
Mar-1992,61.8,59.8,63.4,65.0,58.0,62.7,57.9,0.0,-0.2,0.0,0.8,-1.2,0.3,0.5
Jun-1992,62.1,60.1,63.7,65.4,57.7,62.8,58.7,0.5,0.5,0.5,0.6,-0.5,0.2,1.4
Sep-1992,62.4,60.4,64.2,65.7,58.1,62.8,58.8,0.5,0.5,0.8,0.5,0.7,0.0,0.2
Dec-1992,62.5,60.3,64.7,66.0,58.3,62.8,58.8,0.2,-0.2,0.8,0.5,0.3,0.0,0.0
Mar-1993,63.2,60.7,65.8,66.4,59.5,63.1,59.0,1.1,0.7,1.7,0.6,2.1,0.5,0.3
Jun-1993,64.5,62.3,67.2,66.8,61.5,63.6,59.3,2.1,2.6,2.1,0.6,3.4,0.8,0.5
Sep-1993,65.4,63.0,68.3,67.7,63.9,64.0,60.0,1.4,1.1,1.6,1.3,3.9,0.6,1.2
Dec-1993,66.0,63.2,69.2,68.1,65.5,64.0,60.2,0.9,0.3,1.3,0.6,2.5,0.0,0.3
Mar-1994,66.4,63.6,69.8,68.3,66.1,64.4,60.7,0.6,0.6,0.9,0.3,0.9,0.6,0.8
Jun-1994,66.9,64.3,70.4,68.6,66.2,65.0,61.3,0.8,1.1,0.9,0.4,0.2,0.9,1.0
Sep-1994,67.4,64.8,70.9,68.9,66.1,65.7,61.9,0.7,0.8,0.7,0.4,-0.2,1.1,1.0
Dec-1994,68.0,65.5,71.6,69.7,66.4,66.2,62.6,0.9,1.1,1.0,1.2,0.5,0.8,1.1
Mar-1995,68.4,65.9,72.2,69.8,66.7,66.7,63.3,0.6,0.6,0.8,0.1,0.5,0.8,1.1
Jun-1995,68.8,66.3,72.5,70.1,66.4,67.4,64.1,0.6,0.6,0.4,0.4,-0.4,1.0,1.3
Sep-1995,68.6,66.4,71.8,69.9,66.2,67.9,64.8,-0.3,0.2,-1.0,-0.3,-0.3,0.7,1.1
Dec-1995,68.3,66.0,71.4,69.4,65.9,67.8,64.8,-0.4,-0.6,-0.6,-0.7,-0.5,-0.1,0.0
Mar-1996,68.1,65.9,71.3,68.7,65.9,67.6,64.8,-0.3,-0.2,-0.1,-1.0,0.0,-0.3,0.0
Jun-1996,68.2,66.3,71.3,68.5,66.1,67.6,64.7,0.1,0.6,0.0,-0.3,0.3,0.0,-0.2
Sep-1996,68.3,66.2,71.2,68.7,66.8,67.9,64.7,0.1,-0.2,-0.1,0.3,1.1,0.4,0.0
Dec-1996,68.4,66.1,71.4,69.0,67.3,67.9,64.3,0.1,-0.2,0.3,0.4,0.7,0.0,-0.6
Mar-1997,68.6,66.2,71.3,69.3,67.5,68.0,64.5,0.3,0.2,-0.1,0.4,0.3,0.1,0.3
Jun-1997,69.1,67.0,71.7,70.0,67.9,68.3,64.5,0.7,1.2,0.6,1.0,0.6,0.4,0.0
Sep-1997,69.3,67.2,71.9,70.2,68.4,68.5,64.6,0.3,0.3,0.3,0.3,0.7,0.3,0.2
Dec-1997,69.6,68.2,72.2,70.1,68.7,68.3,64.7,0.4,1.5,0.4,-0.1,0.4,-0.3,0.2
Mar-1998,70.1,69.0,72.8,70.3,69.1,68.3,65.1,0.7,1.2,0.8,0.3,0.6,0.0,0.6
Jun-1998,70.3,68.9,73.1,70.8,69.4,68.4,65.5,0.3,-0.1,0.4,0.7,0.4,0.1,0.6
Sep-1998,70.5,69.0,73.5,71.1,69.5,68.5,65.8,0.3,0.1,0.5,0.4,0.1,0.1,0.5
Dec-1998,70.7,69.5,73.1,71.3,70.0,68.6,65.6,0.3,0.7,-0.5,0.3,0.7,0.1,-0.3
Mar-1999,70.6,69.6,72.9,71.1,69.9,68.5,65.5,-0.1,0.1,-0.3,-0.3,-0.1,-0.1,-0.2
Jun-1999,70.4,69.5,72.7,70.6,70.0,68.4,65.4,-0.3,-0.1,-0.3,-0.7,0.1,-0.1,-0.2
Sep-1999,71.2,70.6,73.8,71.1,70.1,69.0,65.5,1.1,1.6,1.5,0.7,0.1,0.9,0.2
Dec-1999,71.8,71.0,74.6,72.0,70.4,69.1,65.8,0.8,0.6,1.1,1.3,0.4,0.1,0.5
Mar-2000,73.1,73.1,76.1,73.4,71.3,69.7,66.9,1.8,3.0,2.0,1.9,1.3,0.9,1.7
Jun-2000,74.1,74.9,76.9,73.8,72.5,70.0,67.6,1.4,2.5,1.1,0.5,1.7,0.4,1.0
Sep-2000,73.5,74.2,76.3,72.8,72.5,69.8,67.2,-0.8,-0.9,-0.8,-1.4,0.0,-0.3,-0.6
Dec-2000,73.5,74.1,76.4,72.5,72.5,70.2,67.4,0.0,-0.1,0.1,-0.4,0.0,0.6,0.3
Mar-2001,73.3,74.1,76.1,72.3,72.3,70.2,67.8,-0.3,0.0,-0.4,-0.3,-0.3,0.0,0.6
Jun-2001,73.5,74.3,76.2,72.2,72.4,70.3,68.2,0.3,0.3,0.1,-0.1,0.1,0.1,0.6
Sep-2001,73.6,74.5,77.0,72.2,71.8,70.2,68.3,0.1,0.3,1.0,0.0,-0.8,-0.1,0.1
